Email,Address,Avg Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
lisadelgado@gmail.com,"57993 Jennifer Unions Suite 685Emilyville, OK 53366-2375",33.4995061,11.94659088,36.48632507,3.937862643,529.1945189
sharongraves@yahoo.com,"73098 Ronald PortCliffordborough, MO 37479-9244",32.90485367,12.55610762,37.80550943,0.26990109,314.4385183
flevine@gmail.com,"5292 Melanie Crescent Apt. 064Fischerborough, NV 85721-5045",32.20465465,12.48070152,37.68028761,3.27946626,478.584286
rskinner@johnson-jefferson.com,"24725 Neal LockCynthiaville, NY 51578",32.67515451,12.59419407,37.68387537,2.571777835,444.582165
kiarakim@harris.org,"1502 Gonzalez ThroughwayKathrynchester, FM 86014-7194",32.99838766,10.94684194,37.64780806,3.826030618,475.0154071
rachelrodriguez@lara-waters.com,"35466 Tommy StreamPort Daniellemouth, KS 68863-6330",33.94311858,11.48419869,36.83936583,2.402453833,436.7205559
dbrown@gmail.com,"76666 Kathy LocksPort Susan, ME 64335",33.55210836,11.12087087,36.80837606,4.027813842,521.1953105
mary45@gmail.com,"33213 Tanner Knolls Apt. 519Whiteborough, OR 37119-7790",33.67683087,10.97139243,37.72236711,3.629339915,478.1830597
marcusleach@floyd.org,Unit 3998 Box 4348DPO AA 37629,32.64194637,11.58894858,36.32214092,3.189609942,432.4811686
lmunoz@yahoo.com,"2100 Austin Camp Apt. 943Anthonymouth, WV 24243-3781",33.42121218,10.70664152,35.7661535,3.393975043,438.3037078
dvasquez@wiley.com,"967 Chloe Springs Suite 554Lake Ashley, GA 03230",32.76707608,11.07625934,34.7797505,2.57494847,388.9405488
dylanmartin@hotmail.com,"42644 Helen Keys Apt. 103Jessicahaven, KS 89406-1960",33.11995443,12.95326254,37.03427958,3.47202138,534.7714849
xkaufman@gmail.com,"02342 Melissa IslandsSmithhaven, KS 68335",35.37187609,10.5724666,36.86218335,4.198349061,537.9157529
jasonhensley@yahoo.com,"97262 Brian SkywayLake Marissa, GU 96859",33.97608258,11.65803681,37.42527868,2.086348147,407.8763782
gstrong@hotmail.com,"7875 Landry Road Apt. 947Brownshire, NC 10074-7735",34.03416353,13.59251266,36.83865679,3.605933918,618.8459704
arnoldsamuel@wilson.com,"949 Tapia ViaductMartinezfurt, CT 79271-8205",32.77049216,11.37176736,35.26149812,4.03438613,502.7710746
scottrose@yahoo.com,"50639 Sarah Isle Apt. 268Yangmouth, MO 05540",33.50381038,11.23341495,37.21115258,2.32055025,397.4205841
salazarkaren@hotmail.com,"51173 Burton Wall Apt. 417Prestonville, NY 37002",31.87455169,10.29035077,36.92976156,3.491093337,392.2852442
susanibarra@yahoo.com,"426 Scott Radial Apt. 065Abigailstad, MS 16590-2222",32.53323998,14.12178384,38.40632901,5.320093864,689.2356998
nhenry@hotmail.com,"3874 Harper PlazaNorth Nancy, ME 96802-9462",34.85131417,12.41554196,37.67232248,3.130538462,543.1326263
millerrachel@gallagher-nichols.com,Unit 4742 Box 9517DPO AE 67219-3123,34.21146128,10.77024892,34.64980005,4.985204971,577.7360249
